DO,WT,PH,Cond,Tur,COD,NH,TP,TN,Chla
6.04,20.54,7.83,200.69,570.01,4.71,0.16,0.18,1.99,1.5
5.66,20.52,7.87,203.6,438.5,3.93,0.11,0.15,2.14,1.67
8.35,20.63,7.97,205.76,159.05,2.46,0.04,0.06,1.89,2.61
9.54,20.56,7.98,212.7,124.16,2.22,0.03,0.05,1.83,2.72
10.28,20.39,7.99,211.83,108.02,2.09,0.03,0.05,1.87,2.9
11.16,20.39,8.02,216.96,100.26,2.3,0.03,0.04,1.99,3.21
10.5,20.24,8.04,217.19,91.15,2.12,0.03,0.04,2.02,4.06
11.52,20.43,7.99,217.72,66.16,1.97,0.03,0.03,1.91,4.37
10.27,20.78,7.97,214.36,62.02,1.97,0.03,0.03,1.84,5.94
12.12,21.01,7.9,214.61,84.06,2.13,0.03,0.04,1.85,5.74
10.35,21.23,7.79,219.49,301.27,2.93,0.03,0.09,2.16,4.47
9.13,21.54,7.67,217.96,447.54,4.34,0.1,0.13,2.31,3.4
9.9,21.22,7.7,218.31,682.59,5.74,0.19,0.14,2.38,1.78
10.46,20.3,7.89,224.8,572.53,5.07,0.14,0.15,2.43,1.9
9.46,18.64,7.89,226.62,692.13,5.95,0.19,0.15,2.55,1.75
6.78,17.88,7.86,233.6,754.03,6.63,0.24,0.15,2.59,1.77
7.54,17.37,7.8,234.74,782.53,6.6,0.28,0.16,2.38,1.62
7.2,17.3,7.78,236.04,711.96,5.17,0.27,0.16,2.23,1.71
7.19,17.62,7.8,234.47,559.94,4.15,0.2,0.15,2.13,1.93
6.05,18.54,7.88,232.34,277.08,3.01,0.07,0.08,2.34,2.47
5.72,19.06,7.82,235.32,285.82,2.8,0.06,0.09,2.23,2
6.79,19.57,7.53,250.78,556.86,4.28,0.21,0.14,2.4,1.79
8.29,19.69,7.08,267.52,715.6,5.07,0.37,0.14,2.34,1.71
7.74,19.71,7.13,268.06,698.12,4.8,0.28,0.16,2.37,2.08
7.55,19.91,7.15,267.22,579.13,4.22,0.14,0.14,2.32,2.3
7.13,20.07,7.11,257.9,459.36,3.82,0.11,0.13,2.3,2.36
6.7,20.08,7.12,253.48,396.75,3.34,0.08,0.11,2.32,2.28
6.35,19.95,7.19,258.82,268.87,2.89,0.04,0.08,2.18,2.83
6.49,19.31,7.25,268.34,152.67,2.29,0.03,0.05,2.07,2.52
8.25,15.24,7.42,271.86,303.66,3.1,0.03,0.09,2.54,2.32
11.13,12.08,7.54,262.84,334.16,3.36,0.09,0.12,2.62,2.31
12.7,20.1,7.56,292.2,340.42,3.04,0.14,0.1,2.61,2.44
8.44,18.39,7.47,304.84,248.18,3.39,0.16,0.08,2.52,2.8
8.42,19.49,7.49,290.86,246.89,2.91,0.17,0.09,2.46,3.01
8.5,19.33,7.54,285.07,235.69,2.83,0.16,0.08,2.37,3.22
8.46,20.26,7.54,280.24,212.98,2.61,0.15,0.07,2.33,3.23
8.15,21.04,7.51,277.62,195.77,2.54,0.13,0.06,2.29,3.26
10.01,19.75,7.45,261,188.1,2.5,0.14,0.06,2.3,3.39
12.27,17.95,7.43,252.05,239.24,3.05,0.17,0.07,2.28,3.97
12.21,17.95,7.38,239.43,340.01,3.7,0.22,0.1,2.47,4.54
11.46,18.58,7.43,233.57,321.32,3.8,0.21,0.09,2.49,4.9
10.43,19.23,7.52,236.95,292.49,3.55,0.21,0.08,2.48,5.58
9.87,19.63,7.47,238.83,398.19,4.24,0.27,0.11,2.69,5.84
10.61,18.9,7.46,239.18,454.55,4.59,0.29,0.11,2.73,6.2
10.3,18.89,7.49,240.8,398.14,4.32,0.27,0.1,2.72,6.86
8.01,15.59,7.47,240.27,403.75,4.28,0.28,0.1,2.79,7.24
5.21,12.66,7.56,241.96,346.54,3.9,0.24,0.11,2.73,8.18
4.57,11.78,7.61,247.56,342.27,4.08,0.24,0.1,2.75,8.92
4.99,11.75,7.57,248.43,396.16,4.04,0.25,0.1,2.75,9.57
5.26,12.42,7.51,247.18,451.8,4.45,0.27,0.11,2.79,10.03
5.74,13.28,7.5,245.9,425.74,4.27,0.24,0.09,2.8,10.96
5.66,13.28,7.48,244.77,432.6,4.27,0.24,0.11,2.8,11.68
5.27,13.31,7.55,245.52,294.16,3.73,0.19,0.08,2.76,13.26
6.43,13.09,7.48,248.8,176.04,3.12,0.17,0.05,2.62,11.59
5.14,13.25,7.63,245.55,150.62,3.05,0.15,0.04,2.56,10.98
5.04,13.14,7.64,246.34,143.69,3.02,0.14,0.04,2.57,11.53
4.93,13.08,7.69,249.66,146.83,3,0.14,0.04,2.55,12.72
6.06,12.37,7.65,253.46,396.09,4.42,0.24,0.08,2.8,12.58
6.92,11.98,7.65,255.31,380.93,4.28,0.24,0.08,2.78,12.69
6.49,12.23,7.69,253.78,220.7,3.28,0.16,0.05,2.65,11.22
6.3,12.37,7.7,251.63,160.39,3.11,0.12,0.04,2.46,12.63
6.51,12.48,7.67,249.3,147.56,3.04,0.11,0.04,2.37,12.67
5.98,12.91,7.67,246.82,149.45,3.03,0.12,0.04,2.39,13.51
6.25,12.49,7.7,241.97,152.61,3,0.14,0.04,2.41,14.47
6.88,13.38,7.69,243.78,152.3,3,0.14,0.04,2.38,14.33
8.06,18.46,7.62,246.31,245.89,3.47,0.17,0.05,2.56,13.96
8.82,17.71,7.62,248.47,237.08,3.43,0.18,0.05,2.61,14.57
7.53,18.61,7.66,238.98,282.5,3.55,0.19,0.05,2.66,14.62
8.23,17.43,7.64,238.23,252.42,3.57,0.17,0.05,2.61,58.33
8.18,17.5,7.64,236.54,295.25,3.58,0.17,0.05,2.7,7.66
6.75,19.55,7.65,231.9,323.61,3.8,0.16,0.06,2.66,5.99
6.48,20.24,7.7,231.76,367.64,4.03,0.16,0.07,2.7,5.38
7.95,18.1,7.57,230.95,262.52,3.48,0.11,0.05,2.66,5.16
8.18,17.07,7.7,236.54,182.62,2.48,0.08,0.03,2.56,5.44
7.99,17.5,7.68,238.92,144.49,2.18,0.06,0.03,2.42,6.21
6.6,19.27,7.77,234.65,174.09,2.22,0.07,0.04,2.41,6.78
6.86,19.12,7.84,235.61,172.95,2.3,0.08,0.04,2.47,8.19
7.25,19.36,7.85,232.52,157.34,2.07,0.11,0.03,2.52,10.45
8.03,19.26,7.81,233.06,155.79,2.2,0.16,0.04,2.61,14.11
8.96,19.84,7.82,238.53,152.93,2.35,0.15,0.04,2.55,20.36
9.95,18.61,7.81,245.26,145.92,2.36,0.15,0.04,2.54,27.38
9.91,18,7.82,247.69,130.63,2.37,0.14,0.04,2.52,34.08
10.17,18.36,7.82,237.73,120.04,2.4,0.13,0.04,2.54,38.95
9.36,18.92,7.84,246.68,110.96,2.27,0.12,0.04,2.53,10.4
8.99,19.25,7.88,247.37,107.47,2.27,0.12,0.04,2.53,5.91
9.04,19.17,7.91,252.21,97.08,2.13,0.13,0.04,2.54,4.42
9.04,18.98,7.92,254.68,87.02,2.19,0.14,0.05,2.55,4.38
9.15,19.14,7.91,259.4,74.48,2.33,0.14,0.05,2.56,4.42
9.31,19.13,7.77,256.21,61.86,2.1,0.11,0.04,2.47,4.48
9.12,19.04,7.97,261.47,65.68,2.29,0.13,0.04,2.36,4.75
8.98,18.97,7.95,259.25,68.25,2.42,0.12,0.04,2.46,5.31
9.43,18.63,7.95,256.73,73.17,2.21,0.13,0.04,2.58,6.04
10.68,16.96,7.81,264.56,367.97,3.56,0.31,0.08,2.86,5.29
10.64,15.56,7.8,268.31,406.13,3.48,0.32,0.09,2.95,6.89
15.62,15.76,7.93,264.16,164.34,3.12,0.19,0.05,2.79,9.13
5.65,11.76,7.83,257.03,461.83,4.7,0.33,0.11,2.84,6.03
6.25,11.22,7.81,257.95,458.36,4.89,0.31,0.09,2.75,6.66
6.06,11.52,7.78,240.79,443.96,4.62,0.26,0.09,2.67,7.79
5.73,12.27,7.76,244.4,471.14,4.67,0.25,0.1,2.66,8.5
5.53,11.87,7.76,249.29,435.95,4.66,0.24,0.09,2.68,9.14
4.87,8.32,7.79,249.54,415.61,4.24,0.2,0.1,2.62,8.74
5.55,8.01,7.77,249,450.92,4.75,0.21,0.12,2.64,5.47
6.23,7.71,7.75,248.46,486.22,5.26,0.22,0.14,2.66,2.2
4.57,8.61,7.73,235.34,405.68,4.57,0.2,0.14,2.67,1.25
5,9.49,7.76,215.77,318.46,3.84,0.2,0.12,2.7,0.81
5.08,9.84,7.83,212.36,286.56,4.2,0.23,0.11,2.74,0.61
6.17,9.7,7.86,204.28,306.55,5.15,0.24,0.11,2.82,0.56
7.41,9.57,7.84,201.29,332.86,5.06,0.23,0.11,2.83,0.62
7.85,9.75,7.82,202.3,257.47,4.54,0.2,0.09,2.83,0.66
8.31,9.89,7.76,200.07,274.8,4.62,0.2,0.09,2.79,0.75
8.13,9.99,7.78,198.09,229.36,3.87,0.18,0.08,2.77,0.96
7.98,10.2,7.79,194.58,221.29,3.2,0.17,0.07,2.76,1.18
8.38,10.11,7.86,195.32,177.9,3.1,0.16,0.07,2.76,1.54
7.71,10.1,7.88,196.97,202.26,3.12,0.14,0.08,2.74,1.76
7.62,10,7.9,199.39,327.22,3.83,0.15,0.1,2.82,1.55
8.56,9.83,7.89,200.24,282.68,3.73,0.14,0.09,2.82,1.61
9.42,9.75,7.96,201.59,235.17,3.46,0.14,0.08,2.81,1.42
10.12,9.69,7.96,199.66,262.92,3.7,0.14,0.09,2.77,1.27
10.37,9.85,7.95,198.64,380.38,4.32,0.13,0.11,2.75,1.3
10.72,9.99,7.93,197.07,270.94,3.57,0.1,0.08,2.7,1.65
11.45,9.79,7.94,201.92,188.64,3.28,0.1,0.06,2.69,2.02
11.91,9.07,7.98,206.24,77.45,2.49,0.08,0.05,2.59,2.65
11.36,9.2,7.97,205.21,68.46,2.03,0.07,0.05,2.6,2.75
11.5,9.41,7.96,203.69,72.86,2.7,0.07,0.04,2.6,2.74
10.45,9.72,7.96,202.98,72.02,2.49,0.06,0.04,2.59,3.05
10.91,10.1,7.96,204.72,78.22,2.63,0.05,0.04,2.56,3.33
10.29,10.63,7.96,207.28,83.52,2.56,0.04,0.04,2.53,3.65
11.01,11.04,8,203.84,89.4,2.68,0.04,0.04,2.51,3.79
10.38,11.19,8.01,212.78,108.68,2.52,0.04,0.04,2.47,3.55
12,11.44,7.72,196.01,83.06,2.18,0.04,0.04,2.41,3.67
12.91,11.43,7.67,194.57,71.17,2.56,0.03,0.04,2.26,3.4
9.68,9.82,7.64,186.23,85.6,2.65,0.03,0.04,2.33,3.33
10.48,9.78,7.72,191.47,98.16,2.7,0.03,0.04,2.5,3.28
11.09,9.65,7.77,196.85,105.26,2.87,0.03,0.04,2.56,3.55
10.75,9.95,7.76,199.73,107.87,2.93,0.03,0.04,2.51,3.91
10.01,10.04,7.72,194.7,117.92,2.69,0.03,0.04,2.44,3.55
10.59,11.75,7.71,201.58,130.77,2.53,0.03,0.04,2.4,2.84
10.11,13.33,7.72,198.22,115.54,2.45,0.05,0.04,2.37,2.33
9.76,12.92,7.77,189.46,94.25,2.17,0.06,0.04,2.36,1.84
9.58,12.72,7.66,197.85,83.13,2.14,0.07,0.04,2.37,1.84
10.17,12.62,7.65,206.16,79.15,3.46,0.09,0.04,2.38,2.21
9.71,13.09,7.59,207.2,86.54,1.93,0.13,0.04,2.43,1.79
9.11,13.66,7.62,204.63,106.26,1.78,0.14,0.05,2.36,1.46
7.44,14.04,7.69,197.5,141.34,1.93,0.13,0.06,2.34,1.34
6.33,13.75,7.6,189.99,157.94,1.96,0.13,0.06,2.39,1.1
6.73,13.59,7.57,198.86,194.78,2.49,0.13,0.07,2.49,1.11
7.89,13.99,7.52,191.43,284.59,4.23,0.15,0.11,2.55,1.29
7.86,14.29,7.45,186.79,261.87,2.83,0.14,0.09,2.48,1.72
7.28,14.34,7.39,172.91,207.35,2.5,0.12,0.07,2.43,2.81
7.73,14.48,7.34,161.69,160.44,2.18,0.11,0.06,2.43,5.15
7.6,14.74,7.34,163.81,146.86,2.11,0.09,0.05,2.47,9.66
7.85,15.16,7.34,113.67,128.25,4.93,0.06,0.05,2.39,17.67
7.19,15.92,7.38,176.1,113.93,1.85,0.05,0.05,2.33,31.76
7.91,16.39,7.53,174.14,112.62,2.14,0.07,0.05,2.31,45.14
7.86,16.24,7.32,172.68,116.59,2.2,0.08,0.05,2.44,2.55
8.29,15.95,7.32,43.56,110.05,2.4,0.09,0.05,2.57,2.14
7.39,15.72,7.34,173.69,110.41,2.55,0.12,0.05,2.6,2.12
9.5,15.65,7.26,160.71,109.42,2.61,0.11,0.06,2.8,2.27
7.45,15.32,7.25,160.02,108.15,2.52,0.13,0.06,2.86,2.7
7.14,15.49,7.28,133.24,105.47,2.57,0.12,0.06,2.84,3.38
6.52,15.9,7.26,0.25,91.59,2.45,0.08,0.06,2.75,4.34
7.69,16.62,7.24,120.63,80.87,2.34,0.04,0.05,2.5,5.62
6.45,17.47,7.07,140.73,69.18,2.34,0.03,0.05,2.28,7.59
6.27,17.79,7.08,142.76,64.94,2.35,0.03,0.04,2.19,9.55
6.95,17.66,7,143.98,65.66,2.21,0.03,0.04,2.15,10.94
6.95,17.91,6.86,143.02,80.8,2.2,0.03,0.04,2.13,9.45
6.96,17.96,6.72,143.79,98.39,2.17,0.03,0.05,2.15,6.01
6.93,18.33,6.7,143.45,102.14,2.23,0.03,0.05,2.2,7.17
7.88,18.49,6.67,149,98.71,2.61,0.03,0.06,2.32,8.23
7.84,18.66,6.6,152.94,92.57,2.55,0.03,0.05,2.29,12
7.91,18.91,6.56,149.8,97.11,2.43,0.03,0.06,2.24,17.9
7.8,19.13,6.57,144.33,105.7,2.64,0.03,0.06,2.28,32.23
8.26,18.28,6.68,144.45,121.16,2.57,0.03,0.06,2.35,46.47
9.27,16.99,6.81,140.95,128.71,2.67,0.03,0.14,2.39,63.35
10.38,15.89,7.05,137.8,111.89,2.01,0.03,0.06,2.42,69.87
11.32,15.05,7.06,137.23,97.9,2.56,0.03,0.06,2.4,35.86
10.51,15.54,7,136.83,93.51,2.48,0.04,0.06,2.35,24.83
9.7,16.03,6.93,136.42,89.13,2.4,0.04,0.06,2.3,13.8
8.42,16.84,6.88,137.59,84.45,2.35,0.03,0.04,2.22,16.75
8.7,16.89,6.92,142.83,87.83,2.31,0.03,0.06,2.15,21.08
8.52,16.84,6.93,143.37,80.54,2.31,0.03,0.05,2.19,25.76
8.43,17.15,6.94,145.3,81.71,2.28,0.03,0.06,2.3,32.51
9.31,17.45,6.97,145.75,81.54,2.45,0.03,0.06,2.36,31.91
9.1,17.93,7.01,147.2,76.58,2.27,0.04,0.05,2.28,28.93
8.41,18.48,7.03,149.21,76.09,2.28,0.03,0.05,2.21,33.99
8.33,18.98,7.03,146.84,74.48,2.3,0.03,0.05,2.19,39.83
8.63,19.04,7.05,143.7,77.04,2.29,0.03,0.05,2.16,47.38
8.99,18.41,7.2,146.75,86.31,2.26,0.03,0.06,2.12,55.96
9.46,18.18,7.22,151.04,94.1,2.04,0.04,0.06,2.23,65
9.55,18.07,7.16,153.12,103.39,2.6,0.06,0.07,2.37,77.66
8.76,18.16,6.96,143.22,109.86,2.74,0.08,0.07,2.34,91.74
10.06,17.67,7.06,110.24,280.2,2.79,0.08,0.07,2.36,73.98
9.67,17.94,6.89,135.93,90.37,2.32,0.07,0.07,2.32,22.25
8.39,18.33,6.84,138.71,79.66,2.53,0.05,0.07,2.21,15.12
7.96,18.69,6.89,138.4,66.44,2.41,0.03,0.06,2.06,14.12
7.31,19.38,6.96,136.99,60.48,2.34,0.03,0.05,2.06,11.62
7.51,19.83,6.98,136.37,58.55,2.62,0.03,0.05,2.08,5.08
9.09,19.88,7.04,138.23,52.51,2.36,0.03,0.04,1.99,4.74
8.63,20.16,7.06,137.9,53.07,2.5,0.03,0.04,1.94,4.95
8.31,20.47,7.06,140.15,52.15,2.34,0.03,0.04,1.89,5.37
8.19,20.49,6.97,140.65,53.6,2.65,0.03,0.04,1.95,6.21
7.96,20.44,6.91,141.4,54.54,2.56,0.03,0.04,1.95,7.03
9.37,20.21,6.93,146.22,59.94,2.39,0.04,0.04,2.02,8.18
10.17,19.59,6.83,152.2,63.62,2.36,0.04,0.05,2.07,9.72
9.54,19.38,6.76,156.11,62.19,2.55,0.04,0.05,2.19,11.34
9.52,19.49,6.72,153.39,63.26,2.15,0.03,0.05,2.19,12.43
8.85,19.91,6.71,153.92,61.48,1.75,0.03,0.05,2.22,12.49
8.94,20.29,6.7,148.66,51.54,2.14,0.03,0.05,2.22,12.8
7.8,21.24,6.78,145.5,45.75,2.08,0.03,0.05,2.17,14.3
6.6,22.6,6.92,143.28,41.15,2.33,0.03,0.05,2.12,15.94
5.36,23.28,6.82,140.19,41.03,2.63,0.03,0.04,1.83,17.81
5.59,23.61,6.86,138.78,49.77,2.6,0.03,0.05,1.79,20.06
8.32,23.58,6.94,139.35,48.43,2.53,0.03,0.04,1.88,20.35
7.62,23.58,6.83,140.85,58.3,2.76,0.2,0.05,1.87,20.47
7.22,25.99,6.95,143.46,65.38,2.46,0.29,0.05,1.92,22.35
6.83,28.4,7.07,146.07,72.46,2.28,0.03,0.05,1.92,24.16
6.63,27.88,6.91,147.59,85.9,1.62,0.03,0.05,1.96,24.06
6.7,27.3,6.9,149.47,84.54,1.85,0.03,0.05,1.92,24.72
6.45,27.42,6.86,151.33,83.63,2.11,0.03,0.05,1.76,25.88
6.48,27.85,6.91,155.22,77.65,2.08,0.03,0.05,1.76,26.75
7,28.46,7.05,160.44,75.68,2.1,0.03,0.04,1.77,29.41
7.37,28.91,7.05,162.99,64.65,2.09,0.03,0.04,1.78,34.03
6.93,29.18,6.84,158.97,55.98,1.95,0.03,0.04,1.8,35.65
7.08,29.45,6.95,157.73,50.27,2.21,0.03,0.04,1.83,39.76
6.88,29.36,6.91,159.55,52.41,1.77,0.03,0.04,1.69,44.99
6.97,29.33,6.99,163.68,51.41,2.11,0.03,0.04,1.69,38.39
7.33,29.49,7.18,166.06,49.14,2.09,0.03,0.04,1.63,17.78
6.87,29.4,7.02,167.74,52.4,2.01,0.03,0.04,1.69,19.73
6.64,29.09,6.92,165.81,49.16,2.06,0.03,0.04,1.69,20.88
6.78,28.9,7.03,164.61,57.01,1.84,0.03,0.04,1.57,23.68
6.64,29.02,6.96,164.54,48.53,1.9,0.03,0.04,1.71,27.08
6.64,29.12,6.96,164.52,44.25,1.79,0.03,0.04,1.55,30.88
6.73,29.21,7.23,173.13,48.42,2.02,0.03,0.04,1.54,22.44
6.88,28.87,7.81,210.26,55.11,1.9,0.03,0.04,1.93,4.9
6.68,27.94,7.72,191.96,65.57,2.02,0.03,0.04,1.88,3.11
6.75,26.99,7.73,182.58,68.67,2.09,0.03,0.04,1.82,2.81
6.75,26.81,7.67,174.04,70.76,2.03,0.03,0.04,1.69,2.29
7.02,27.03,7.59,177.36,81.08,2.28,0.03,0.05,1.72,2.74
7.14,27.43,7.65,167.22,72.76,2.41,0.03,0.05,2.01,3.98
7.22,27.95,7.66,151.44,66.42,2.62,0.03,0.05,1.46,6.18
7.15,28.57,7.69,143.58,56.53,2.38,0.03,0.04,1.38,8.31
7,28.85,7.41,135.65,52.53,2.49,0.03,0.04,1.35,7.15
6.87,29.1,7.48,130.45,44.22,3.01,0.03,0.04,1.3,2.64
6.83,29.57,7.25,130.19,40.69,3.01,0.03,0.03,1.21,2.55
6.87,30.01,7.3,125.89,43,2.85,0.03,0.03,1.15,2.65
6.73,30.13,7.12,126.47,54.15,2.82,0.04,0.03,1.17,2.66
6.49,30.42,7.04,127.24,85.54,2.75,0.03,0.04,1.19,2.68
6.2,30.49,6.97,130.76,112.11,3.52,0.03,0.04,1,2.93
6.35,30.56,7.06,135.72,156.11,2.93,0.03,0.04,1.5,2.63
6.38,30.83,7.11,137.14,184.6,3.08,0.03,0.05,1.56,2.25
6.03,30.66,7.07,136.96,174.63,2.68,0.03,0.05,1.59,2.3
6.21,30.92,7.1,136.94,142.09,2.95,0.03,0.04,1.42,2.6
6.21,31.43,7.07,142.09,113.82,3.36,0.03,0.04,1.3,3.08
6.39,31.8,7.13,145.74,87.51,3.52,0.03,0.03,1.25,3.13
6.18,31.98,7.1,145.77,75.68,2.33,0.03,0.04,1.38,3.18
5.91,32,7.07,146.11,96.06,2.05,0.03,0.04,1.51,2.88
5.62,31.95,7.02,146.01,128.24,2.03,0.03,0.05,1.62,2.68
5.47,31.64,7.01,146.63,118.96,2.11,0.03,0.05,1.57,2.82
5.97,30.54,7.1,145,120,2.5,0.03,0.05,1.57,3.01
6.35,29.99,7.11,131.91,135.45,3.24,0.03,0.06,1.48,3.48
6.36,30.25,7.12,132.94,150.11,3.19,0.03,0.06,1.51,4.18
6.1,30.41,7.04,133.42,150.89,2.93,0.03,0.06,1.55,4.89
5.9,30.57,6.99,135.92,138.57,2.17,0.03,0.05,1.61,5.58
5.89,30.65,7.01,137.74,112.24,2.67,0.03,0.05,1.52,6.83
5.9,30.55,7.02,143.64,95.8,2.27,0.03,0.05,1.48,8.66
6.29,30.77,7.07,151.34,83.59,1.74,0.03,0.04,1.6,9.33
6.09,30.99,7.04,155.02,78.4,1.81,0.03,0.04,1.71,9.56
6.28,31.6,7.08,157.8,69.51,1.91,0.03,0.04,1.45,12.22
6.33,31.91,7.09,156.04,73.07,1.95,0.03,0.04,1.42,15.96
6.39,31.35,7.07,156.54,76.82,1.92,0.03,0.05,1.64,21.79
6.56,30.4,7.13,155.88,68.87,1.79,0.03,0.05,1.8,28.38
6.4,30,7.1,151.24,77.5,2.14,0.03,0.05,1.87,37.35
6.33,30,7.1,147.03,77.71,2,0.03,0.05,1.73,23.25
6.5,30.53,7.17,143.19,78.92,1.98,0.03,0.04,1.9,3.14
6.67,31.12,7.22,142.48,82.01,2.02,0.03,0.04,1.69,3.3
6.69,31.47,7.19,144.18,88.09,2.38,0.03,0.04,1.62,1.41
7.01,32.04,7.33,145.7,82.08,2.66,0.03,0.04,1.55,1.01
7.61,32.89,7.66,146.96,75.31,2.6,0.03,0.04,1.52,0.98
7.07,33.18,7.41,147.2,71.87,2.87,0.03,0.03,1.51,0.96
6.48,33.21,7.21,148.42,75.73,2.46,0.03,0.04,1.52,0.72
6.29,33.08,7.17,149.92,76.48,2.41,0.03,0.04,1.54,0.53
6.27,32.78,7.18,150.68,77.91,2.26,0.03,0.04,1.56,0.53
6.55,32.41,7.32,150.12,71.99,2.4,0.03,0.04,1.54,0.54
7,32.48,7.56,149.54,72.18,2.56,0.03,0.04,1.51,0.61
7.21,32.7,7.58,149.35,75.96,2.58,0.03,0.04,1.54,0.69
6.18,32.53,7.15,147.08,74.08,2.55,0.03,0.03,1.63,0.73
5.96,32.52,7.08,144.29,70.6,2.41,0.03,0.03,1.65,0.94
6.18,32.61,7.15,143.94,70.17,2.49,0.03,0.04,1.57,1.28
6.01,32.21,7.08,145.47,68.96,2.48,0.03,0.03,1.52,1.86
6.1,32.47,7.1,154.07,65.53,2.48,0.03,0.03,1.48,2.7
6.04,32.49,7.1,157.07,66,2.56,0.03,0.03,1.45,3.97
6.32,32.44,7.2,155.83,65.02,2.26,0.03,0.03,1.46,5.7
6.59,32.38,7.37,154.89,67.51,2.26,0.03,0.03,1.45,8.17
6.1,32.06,7.17,155.38,72.33,3.35,0.03,0.03,1.41,11.7
5.94,31.99,7.12,155.95,71.07,3.3,0.03,0.03,1.4,8.24
5.98,31.7,7.16,157.24,76.24,3.06,0.03,0.04,1.4,1.02
6.33,31.55,7.24,159.33,78.17,3.06,0.03,0.04,1.36,1.21
6.34,31.31,7.22,160.12,84.34,3.06,0.03,0.04,1.35,1.26
